key,county,city
4308,Santa Clara,Milpitas
4309,Santa Clara,Los Gatos
4310,Santa Clara,Morgan Hill
4311,Santa Clara,Mountain View
4312,Santa Clara,Palo Alto
4313,Santa Clara,San Jose
4314,Santa Clara,
4315,Santa Clara,Saratoga
4316,Santa Clara,Sunnyvale
4400,Santa Cruz,Los Gatos
4401,Monterey,
4402,Santa Cruz,Capitola
4403,Santa Cruz,Watsonville
4404,Santa Cruz,Scotts Valley
4500,Shasta,Lakehead
4501,Shasta,Anderson
4502,Shasta,Redding
4580,Shasta,Shasta Lake
4600,Sierra,Calpine
4601,Sierra,Loyalton
4700,Siskiyou,Mt Shasta
4701,Siskiyou,Dorris
4702,Siskiyou,Dunsmuir
4703,Siskiyou,Forks of Salmon
4704,Siskiyou,Fort Jones
4705,Siskiyou,Montague
4706,Siskiyou,Mt Shasta
4707,Siskiyou,Tulelake
4708,Siskiyou,Weed
4709,Siskiyou,Montague
4800,Sonoma,Sebastopol
4801,Solano,Benicia
4802,Solano,Dixon
4803,Solano,Fairfield
4804,Solano,Rio Vista
4805,Solano,Fairfield
4806,Solano,Vacaville
4807,Solano,Vallejo
4900,Sonoma,Petaluma
4901,Sonoma,Cloverdale
4902,Sonoma,Cotati
4903,Sonoma,Healdsburg
4904,Sonoma,Rohnert Park
4905,Sonoma,Santa Rosa
4906,Sonoma,Sebastopol
4907,Sonoma,Sonoma
4908,Sonoma,Petaluma
4980,Sonoma,Windsor
5000,Stanislaus,Modesto
5001,Stanislaus,Modesto
5002,Stanislaus,Modesto
5003,Stanislaus,Newman
5004,Stanislaus,Oakdale
5005,Stanislaus,Patterson
5006,Stanislaus,Modesto
5007,Stanislaus,Turlock
5008,Stanislaus,Waterford
5009,Merced,Merced
5100,Sutter,Pleasant Grove
5101,Sutter,Live Oak
5102,Sutter,Yuba City
5200,Tehama,Mill Creek
5201,Tehama,Corning
5202,Tehama,Red Bluff
5203,Tehama,Tehama
5300,Trinity,Douglas City
5400,Tulare,Visalia
5401,Tulare,Dinuba
5402,Kings,Hanford
5403,Tulare,Farmersville
5404,Tulare,Lindsay
5405,Tulare,Porterville
5406,Tulare,Exeter
5407,Tulare,Visalia
5408,Yolo,Woodland
5500,Tuolumne,Twain Harte
5501,Tuolumne,Sonora
5600,Ventura,Simi Valley
5601,Ventura,Camarillo
5602,Ventura,Fillmore
5603,Ventura,Ojai
5604,Ventura,Oxnard
5605,Ventura,Port Hueneme
5606,Ventura,Santa Paula
5607,Ventura,Newbury Park
5608,Ventura,Ventura
5609,Ventura,Simi Valley
5690,Ventura,Thousand Oaks
5700,Yolo,Davis
5701,Yolo,Davis
5702,Yolo,Winters
5703,Yolo,Woodland
5704,Yolo,West Sacramento
5800,Yuba,Olivehurst
5801,Yuba,Marysville
5802,Yuba,Wheatland
