case_id,primary_rd,secondary_rd
6806050,"ASHBY AVE","OTIS ST"
6807767,"CENTER ST","MILVIA ST"
6807771,"MASONIC AVE","SANTA FE AVE"
6812902,"TELEGRAPH AVE","WEBSTER ST"
6812906,"ADDISON ST","MARTIN LUTHER KING JR WAY"
6812910,"UNIVERSITY AVE","SACRAMENTO ST"
6812914,"SOLANO AVE","COLUSA AVE"
6812918,"HASTE ST","SHATTUCK AVE"
6812927,"SACRAMENTO ST","ASHBY AVE"
6812935,"SACRAMENTO ST","CHANNING WAY"
6812943,"TENTH ST","CHANNING WAY"
6827476,"BANCROFT WAY","FULTON ST"
6850164,"BANCROFT WAY","DANA ST"
6850200,"HEARST AVE","MILVIA ST"
6850204,"OXFORD ST","BERKELEY WAY"
6850208,"COLLEGE AVE","WEBSTER ST"
6850212,"SPRUCE ST","EUNICE ST"
6850220,"WARD ST","CALIFORNIA ST"
